session_id,rptq_bgn,rptq_end,intv_bgn,intv_end,rdtr_bgn,rdtr_end,call_bgn,call_end,call_type
20090713_091520_LDC_120304,8.990,46.068,46.068,922.381,922.381,1825.537,2025.680,2630.530,high_ve
20090713_115523_LDC_120245,12.418,40.231,43.497,904.309,904.309,1999.230,1999.230,2604.450,cell
20090713_134640_LDC_120279,42.844,73.712,76.980,858.422,893.058,1736.070,1967.490,2572.390,cell
20090713_144125_LDC_111268,8.541,35.994,35.994,917.369,917.369,1841.791,1982.390,2587.800,cell
20090713_153843_LDC_120309,13.515,59.499,59.499,911.077,911.077,2116.600,2116.600,2721.810,cell
20090713_170601_LDC_120283,9.196,40.008,40.008,986.774,986.774,2111.649,2121.690,2726.730,cell
20090714_092751_LDC_120257,8.864,43.693,43.693,944.021,944.021,1850.724,2070.220,2675.120,cell
20090714_114026_LDC_120263,14.066,41.522,48.748,667.556,698.361,1550.938,1931.560,2536.320,normal
20090714_134807_LDC_120290,7.681,43.464,45.706,892.987,906.302,1767.009,1962.070,2567.750,cell
20090714_144702_LDC_120218,13.025,43.619,43.619,976.338,978.885,1835.619,2028.160,2633.160,cell
20090714_154924_LDC_120287,2.584,34.443,34.443,949.334,949.334,2031.640,2031.640,2636.430,cell
20090715_091111_LDC_120217,18.644,43.160,43.160,982.551,1040.332,1946.988,2092.560,2697.910,cell
20090715_105802_LDC_120232,12.299,40.955,40.955,981.971,981.971,1890.814,2083.150,2688.060,cell
20090715_153946_LDC_120233,6,48,48,1019,1019,1910,2204.49,2809.73,cell
20090716_104019_LDC_120300,10.909,41.846,41.846,961.362,961.362,1915.471,2088.070,2693.170,cell
20090716_114243_LDC_120262,8.565,47.565,67.377,981.658,981.658,1974.127,2051.350,2407.270,cell
20090716_123833_LDC_120294,3.810,30.794,30.794,770.247,770.247,1881.310,1881.310,2486.590,cell
20090716_133924_LDC_120335,1.770,32.349,32.349,841.989,841.989,1900.890,1900.890,2506.390,cell
20090716_143243_LDC_120266,10.047,53.078,53.078,971.219,971.219,1853.969,2022.250,2626.820,cell
20090716_155120_LDC_120269,10.173,45.657,45.657,828.126,828.126,1660,1841.57,2446.59,cell
20090716_164312_LDC_120215,7.701,36.810,36.810,1027.576,1027.576,2090.840,2090.840,2696.250,cell
20090717_093427_LDC_120284,4.386,31.839,31.839,996.011,996.011,2015.290,2015.290,2620.730,low_ve
20090717_104045_LDC_120312,3.861,46.298,46.298,930.626,931.058,1865.970,2013.990,2619.290,cell
20090717_113617_LDC_120278,4.020,33.723,33.723,865.004,865.004,1782.238,2131.860,2736.970,cell
20090717_123630_LDC_111756,6.488,32.676,32.676,921.957,921.957,1892.089,2016.800,2621.640,low_ve
20090717_133033_LDC_120311,2.950,45.200,45.200,861.388,861.388,1955.330,1955.330,2560.360,low_ve
20090717_144831_LDC_120268,13.144,41.441,41.441,933.503,933.503,1901.363,2061.990,2666.770,cell
20090717_153937_LDC_120246,6.455,37.346,37.346,986.580,986.580,2023.800,2023.800,2628.840,cell
20090717_163302_LDC_120243,13.256,59.522,59.522,954.725,954.725,1963.850,2126.800,2732.220,cell
20090722_101614_LDC_120245,3.579,29.798,29.798,930,930,1875,2011.83,2617.29,high_ve
20090722_110456_LDC_120273,6.918,41.278,41.278,965.418,965.418,1978.371,1988.260,2593.730,high_ve
20090722_115429_LDC_120271,9.584,43.569,43.569,963.912,963.912,2019.693,2024.210,2629.430,high_ve
20090722_125058_LDC_120303,6.971,43.252,43.252,920.689,920.689,2356.689,2365.930,2971.050,high_ve
20090722_134423_LDC_120259,4.614,32.349,32.349,895.067,895.067,1972.411,1981.890,2586.990,high_ve
20090722_145450_LDC_120256,6.180,32.243,32.243,932.008,1120.383,1991.690,1991.690,2596.790,cell
20090722_154451_LDC_120225,8.171,36.217,36.217,1015.530,1015.530,2041.858,2067.010,2671.820,high_ve
20090722_163423_LDC_120214,6.140,35.203,35.203,1027.265,1027.265,2073.421,2073.980,2679.200,high_ve
20090722_172242_LDC_120359,21.568,54.927,54.927,958.880,958.880,1989.833,2016.450,2621.850,high_ve
20090723_094218_LDC_120327,8.393,47.721,47.721,969.502,969.502,2043.409,2054.120,2659.100,high_ve
20090723_103227_LDC_120344,6.607,36.872,36.872,883.231,883.231,1941.247,1941.780,2547.310,high_ve
20090723_111806_LDC_120290,4.327,33.124,33.124,797.217,797.217,1847.624,1870.750,2475.620,high_ve
20090723_131020_LDC_111268,6.240,34.662,34.662,892.693,892.693,1942.100,1942.100,2547.030,high_ve
20090723_141256_LDC_120366,2.956,31.441,31.441,937.159,937.159,1936.706,1960.270,2565.120,high_ve
20090723_151345_LDC_120364,4.951,34.295,34.295,817.811,817.811,1920.217,1922.380,2527.530,high_ve
20090723_161437_LDC_120279,10.037,77.865,77.865,1002.412,1002.412,2013.678,2016.330,2621.960,high_ve
20090723_170439_LDC_120287,1.931,30.118,30.118,1016.383,1016.383,1910.000,0.000,0.000,no_call
20090724_094813_LDC_120328,3.250,45.907,108.328,1024.688,1024.688,2441.922,2470.070,3075.120,high_ve
20090724_104250_LDC_120208,5.092,40.326,40.326,942.311,942.311,1982.561,2006.060,2610.940,high_ve
20090724_114222_LDC_120314,6.159,34.269,34.269,1229.159,1229.159,2186.860,2186.860,2791.910,low_ve
20090724_144859_LDC_120329,10.386,45.652,45.652,902.246,902.246,2004.230,2005.020,2609.960,high_ve
20090724_164801_LDC_120221,8.237,34.369,34.899,966.089,979.191,1860.477,1995.540,2600.650,high_ve
20090727_090544_LDC_120294,4.861,31.502,31.502,905.674,905.674,1928.064,1957.200,2562.050,high_ve
20090727_110235_LDC_120233,7.286,33.911,33.911,853.723,853.723,1930.926,1963.750,2568.570,high_ve
20090727_121028_LDC_120337,6.523,37.976,37.976,966.788,967.044,1903.038,2086.120,2691.170,high_ve
20090727_130441_LDC_120216,1.852,24.242,24.242,1020.914,1020.914,2043.039,2082.880,2687.500,high_ve
20090727_135250_LDC_120330,1.663,27.913,27.913,974.881,974.881,2082.256,2112.560,2717.670,high_ve
20090727_145915_LDC_120309,8.317,32.036,32.036,923.598,923.598,1778.310,1778.310,2383.360,high_ve
20090727_154316_LDC_120331,3.461,38.086,41.664,928.992,928.992,1992.410,1992.410,2597.230,high_ve
20090727_164424_LDC_120303,1.571,26.946,26.946,943.868,943.868,2045.118,2068.470,2673.570,cell
20090728_090833_LDC_120300,10.286,38.849,38.849,918.098,918.098,1797.958,1996.980,2602.460,high_ve
20090728_100108_LDC_120263,12.139,33.381,47.375,958.550,973.266,1690.896,2145.670,2750.840,high_ve
20090728_111815_LDC_120321,7.155,42.092,42.092,1000.061,1000.061,1935.248,2071.860,2677.280,high_ve
20090728_123508_LDC_120322,10.235,35.938,35.938,917.250,917.250,2223.320,2223.320,2828.050,high_ve
20090728_132715_LDC_120262,2.029,34.325,34.325,994.872,994.872,1996.154,2014.730,2619.780,high_ve
20090728_141436_LDC_120288,18.970,56.469,56.469,1007.063,1007.063,2077.688,2098.600,2704.000,high_ve
20090728_150523_LDC_120218,9.439,40.423,41.720,1007.063,1007.063,2037.050,2037.050,2641.960,high_ve
20090728_160255_LDC_120215,6.464,34.136,34.136,998.995,998.995,2028.433,2029.450,2634.140,high_ve
20090729_095551_LDC_120346,5.950,34.154,34.154,997.904,997.904,2061.560,2070.770,2676.060,high_ve
20090729_104705_LDC_120235,11.872,44.122,44.122,960.559,960.559,2384.637,2443.420,3048.520,high_ve
20090729_120750_LDC_120294,7.923,35.063,35.063,977.298,977.298,1854.798,2011.260,2616.800,cell
20090729_130225_LDC_120208,5.729,29.463,29.463,910.995,910.995,2027.130,2027.130,2632.290,cell
20090729_140124_LDC_120335,3.628,31.738,31.738,965.441,965.441,2012.519,2030.240,2635.400,high_ve
20090729_145918_LDC_120266,1.161,27.161,27.161,959.051,959.051,2042.670,2042.670,2647.340,high_ve
20090729_155715_LDC_120311,3.871,37.121,37.121,892.309,892.309,1875.543,1895.410,2500.230,high_ve
20090730_101121_LDC_120304,6.825,40.981,40.981,932.950,932.950,1864.169,2034.370,2639.700,high_ve
20090730_114431_LDC_120343,7.516,41.063,41.063,996.641,996.641,2074.641,2077.470,2682.450,high_ve
20090730_130058_LDC_120312,3.854,33.604,33.604,960.401,960.401,2023.090,2023.090,2628.620,high_ve
20090803_111429_LDC_120225,8.559,35.605,35.605,987.527,987.527,2060.370,2060.370,2665.520,cell
20090803_120934_LDC_120271,2.803,41.959,41.959,819.475,819.475,1896.970,1896.970,2502.470,cell
20090803_130052_LDC_120311,25.701,59.638,59.638,1010.638,1013.810,2075.650,2075.650,2681.060,cell
20090803_135248_LDC_120361,17.058,47.901,47.901,1031.339,1031.339,2103.100,2103.100,2708.150,high_ve
20090803_144400_LDC_120323,1.544,29.450,29.450,1044.653,1044.653,2006.600,2006.600,2611.630,high_ve
20090803_153442_LDC_120353,2.560,38.607,38.607,1010.013,1010.013,2098.325,2098.690,2703.540,high_ve
20090803_172210_LDC_120243,9.600,52.615,52.615,919.568,919.568,1939.100,1939.100,2544.320,high_ve
20090804_095809_LDC_120300,5.863,32.863,32.863,994.097,994.097,1896.675,2469.370,3074.930,cell
20090804_110055_LDC_120314,5.348,39.957,41.129,1356.223,1356.223,2301.440,2301.440,2906.440,cell
20090804_160044_LDC_120318,2.847,30.972,30.972,1072.144,1072.144,2022.910,2022.910,2628.240,cell
20090804_165853_LDC_120269,2.668,31.746,31.746,847.621,847.621,1996.230,1996.230,2601.280,high_ve
20090805_091820_LDC_120284,7.061,35.123,35.123,985.108,985.108,1862.983,2006.560,2611.600,high_ve
20090805_100942_LDC_120221,8.019,29.863,29.863,967.175,967.175,1997.597,2019.850,2624.600,cell
20090805_110532_LDC_120225,70.050,109.425,109.425,934.629,934.629,1911.832,1933.590,2538.680,cell
20090805_115917_LDC_120290,1.373,27.372,27.372,839.826,839.826,1924.910,1924.910,2530.180,cell
20090805_145112_LDC_120351,6.732,33.044,33.044,930.826,930.826,2094.794,2095.090,2700.210,high_ve
20090806_104514_LDC_120216,9.148,30.476,30.476,1222.038,1222.038,2388.320,2388.320,2993.520,cell
20090806_131359_LDC_120372,12.952,39.468,39.468,999.202,999.202,1921.234,2081.520,2686.620,low_ve
20090806_140408_LDC_111268,1.953,25.469,25.469,903.797,903.797,2050.970,2050.970,2656.190,cell
20090806_145202_LDC_120274,0.854,26.089,26.089,1171.136,1171.136,2420.710,2420.710,3025.810,high_ve
